Synonym,Chembl ID
ro-76477,CHEMBL1621
invega,CHEMBL1621
trevicta,CHEMBL1621
xeplion,CHEMBL1621
7-beta-hydroxycinobufagin,CHEMBL492443
isoxanthohumol,CHEMBL492828
in-1130,CHEMBL492634
"2,7-bis[2-(diethylamino)acetamido]anthraquinone",CHEMBL493878
"2,7-bis[2-(butylamino)acetamido]anthraquinone",CHEMBL494076
"2,7-bis[2-(pyrrolidino)acetamido]anthraquinone",CHEMBL522685
"2,7-bis[2-(piperidino)acetamido]anthraquinone",CHEMBL492640
"5,12-beta-dihydroxycinobufagin",CHEMBL493034
cudraxanthone g,CHEMBL494664
"(3,4-dichlorophenyl)(2-((dimethylamino)methyl)phenyl)methanone",CHEMBL453493
"2,7-bis[2-(dimethylamino)acetamido]anthraquinone",CHEMBL494283
"2,7-bis[2-(propylamino)acetamido]anthraquinone",CHEMBL494284
"2,7-bis[2-(ethylamino)acetamido]anthraquinone",CHEMBL494482
sb-203238,CHEMBL506279
"2,7-bis[2-(piperazino)acetamido]anthraquinone",CHEMBL495308
"2,7-bis[2-(isopropylamino)acetamido]anthraquinone",CHEMBL494259
"2,7-bis[2-(isobutylamino)acetamido]anthraquinone",CHEMBL494456
"2,7-bis(3-chloropropionamido)anthraquinone",CHEMBL494457
gw876790x,CHEMBL506153
cas 706769-72-4,CHEMBL522504
cas 664972-89-8,CHEMBL507828
cas 902915-02-0,CHEMBL493659
cas 914071-96-8,CHEMBL504180
cas 913525-45-8,CHEMBL492833
cas 902627-18-3,CHEMBL495288
"3,5-dimethyl-biphenyl",CHEMBL464380
nahocol a1,CHEMBL492851
nahocol d2,CHEMBL492852
isosorbide-2-benzyl carbamate,CHEMBL524046
isosorbide-2-benzylcarbamate,CHEMBL524046
iso-ompa,CHEMBL494887
tetraisopropyl pyrophosphoramide,CHEMBL494887
tetraisoproryl pyrophosphoramide,CHEMBL494887
nahocol d1,CHEMBL521867
cas 327978-52-9,CHEMBL522686
cas 524679-67-2,CHEMBL494079
cas 881194-03-2,CHEMBL494080
cas 902561-11-9,CHEMBL494081
cas 173157-92-1,CHEMBL494045
"3,5-dibromo-biphenyl",CHEMBL449772
antanal 1,CHEMBL507442
antanal 2,CHEMBL454035
cas 68339-98-0,CHEMBL443080
cas 94256-44-7,CHEMBL523705
"2,6-bis(4-(dimethylamino)phenyl)pyrylium",CHEMBL494692
"n-(2,4-dimethylphenyl)benzenesulfonamide",CHEMBL492651
folic acid,CHEMBL1622
folacin,CHEMBL1622
pteroylglutamic acid,CHEMBL1622
bio science,CHEMBL1622
folicare,CHEMBL1622
folicet,CHEMBL1622
folsan,CHEMBL1622
folvite,CHEMBL1622
lexpec,CHEMBL1622
natur flow,CHEMBL1622
preconceive,CHEMBL1622
roche,CHEMBL1622
vitamin bc,CHEMBL1622
vitamin m,CHEMBL1622
dndi1417401,CHEMBL493863
tcmdc-123916,CHEMBL493863
gnf-pf-1979,CHEMBL493863
dndi1395216,CHEMBL522887
"n-(2,4-dibromophenyl)benzenesulfonamide",CHEMBL492419
"n-(3,5-dimethylphenyl)benzamide",CHEMBL473677
bph-742,CHEMBL291314
bph-715,CHEMBL494897
gsk690693,CHEMBL494089
gsk9772,CHEMBL493241
gnf-pf-3622,CHEMBL494668
sj000082806,CHEMBL494668
dndi1417349,CHEMBL494669
gnf-pf-4431,CHEMBL494669
mmv006203,CHEMBL494669
"n-(3,5-dibromophenyl)benzamide",CHEMBL493867
gagunin c,CHEMBL447680
gagunin d,CHEMBL503649
gagunin f,CHEMBL471798
gagunin g,CHEMBL508689
gagunin h,CHEMBL449631
gagunin i,CHEMBL478138
gagunin j,CHEMBL509802
gagunin k,CHEMBL499960
gagunin l,CHEMBL449338
gagunin m,CHEMBL509536
gagunin n,CHEMBL446252
gagunin o,CHEMBL502954
gagunin p,CHEMBL503610
gagunin q,CHEMBL503685
denopamine,CHEMBL493682
nci-139606,CHEMBL495293
nci-159878,CHEMBL495495
gnf-pf-3361,CHEMBL495496
a-846714,CHEMBL494678
bph-806,CHEMBL492621
nci-165451,CHEMBL493463
nci-177967,CHEMBL522842
sodium taurocholate,CHEMBL443728
diospyric acid b,CHEMBL492457
coussaric acid,CHEMBL492458
bph-798,CHEMBL494708
phenethyl cinnamate,CHEMBL493921
nci-23869,CHEMBL455753
nci-23872,CHEMBL449643
mepenzolate,CHEMBL1724
barbinervic acid,CHEMBL523209
rotungenic acid,CHEMBL493908
nci-80427,CHEMBL493101
nci-117769,CHEMBL493102
bifenox,CHEMBL449928
chlorfenson,CHEMBL499017
dimethyl 2-(phenyl(phenylamino)methyl)malonate,CHEMBL492278
gnf-pf-5454,CHEMBL522825
meclozine,CHEMBL1623
meclizine,CHEMBL1623
fr-901464,CHEMBL494107
24-hydroxyursolic acid,CHEMBL522373
esfenvalerate,CHEMBL492490
fenvalerate,CHEMBL492491
fenpropathrin,CHEMBL522994
ethiofencarb,CHEMBL493480
silafluofen,CHEMBL493481
mk-1256,CHEMBL523352
bendroflumetazide,CHEMBL493495
levothyroxine,CHEMBL1624
para-tetrahydroxyphenylporphyrin,CHEMBL507897
scutellaric acid,CHEMBL492472
oxybenzone,CHEMBL1625
uvinul m40,CHEMBL1625
amindocate,CHEMBL522173
dndi1417059,CHEMBL501131
clemastine,CHEMBL1626
hs-592,CHEMBL1626
(+/-)-methoxyverapamil,CHEMBL523367
spathodic acid,CHEMBL493893
olaparib,CHEMBL521686
azd-2281,CHEMBL521686
azd2281,CHEMBL521686
lynparza,CHEMBL521686
tipindole,CHEMBL494521
macbecin,CHEMBL523493
dispyrin,CHEMBL493091
myxochromide b3,CHEMBL451012
myxochromide a3,CHEMBL449489
nci-58425,CHEMBL493092
nci-107527,CHEMBL493093
nsc-109483,CHEMBL507159
sutherlandioside b,CHEMBL450215
sutherlandioside c,CHEMBL499425
sutherlandioside d,CHEMBL504299
a-940894,CHEMBL509540
a-943931,CHEMBL502347
valilactone,CHEMBL492253
glucosamine,CHEMBL493287
2-carbamoylnicotinic acid,CHEMBL451946
grl-0255a,CHEMBL492254
[18f]-fpa-a20fmdv2,CHEMBL524859
hts-12086,CHEMBL493634
"2,4,6-triisobutoxy-pyrimidine",CHEMBL493700
"2,4-diisobutylamino-pyrimidine",CHEMBL470153
phenacetyl kkr-acid,CHEMBL492694
cinnamoyl-kkr-h,CHEMBL494699
ac-55541,CHEMBL493076
benzyloxycarbonyl-kkr-h,CHEMBL523197
benzoyl-kkr-h,CHEMBL494301
l-900525,CHEMBL495331
ac-98170,CHEMBL494303
ac-264613,CHEMBL494502
1-[(2-chlorophenoxy)acetyl]piperazine,CHEMBL492269
pictilisib,CHEMBL521851
rg-7321,CHEMBL521851
gdc-0941,CHEMBL521851
qf-1064b,CHEMBL494701
qf-1068b,CHEMBL516809
cep-5104,CHEMBL460989
cep-6331,CHEMBL460990
l-129984,CHEMBL447418
qf-1012b,CHEMBL516944
st-2899,CHEMBL462474
st-2900,CHEMBL447389
st-2902,CHEMBL462056
st-2892,CHEMBL462055
st-2933,CHEMBL518818
nsc-676426,CHEMBL516475
nsc-676427,CHEMBL459314
nsc-676428,CHEMBL468675
raltegravir potassium,CHEMBL518520
raltegravir potassium,CHEMBL518520
isentress hd,CHEMBL518520
nsc-676429,CHEMBL512629
nsc-695801,CHEMBL461193
nsc-695800,CHEMBL516942
bms-695735,CHEMBL459729
"1,7-(acetone)-chlorogenic acid ketal",CHEMBL462039
"1,7-(3-pentanone) ketal",CHEMBL518663
"1,7-(5-nonanone) chlorogenic acid ketal",CHEMBL462248
nsc-683792,CHEMBL516972
nsc-696885,CHEMBL461836
nsc-629732,CHEMBL460778
nsc-629733,CHEMBL460779
talarozole,CHEMBL459505
rambazole,CHEMBL459505
"2-(3',4'-methylenedioxyphenyl)quinoline",CHEMBL502774
"1,7-(8-pentadecanone) chlorogenic acid ketal",CHEMBL468461
"1,7-(9-heptadecanone) chlorogenic acid ketal",CHEMBL448076
nsc-629734,CHEMBL517742
nsc-629735,CHEMBL444737
nsc-629736,CHEMBL460356
r-116010,CHEMBL517438
phenyl phosphordiamidate,CHEMBL462480
n-glycylglycinehydroxamic acid,CHEMBL462481
aminomethyl(methyl)phosphinic acid,CHEMBL458375
aminomethyl(p-methyl)phosphinic acid,CHEMBL458375
hts-9026,CHEMBL449216
hts-9915,CHEMBL512935
hts-13320,CHEMBL462048
at-2220,CHEMBL460785
duvoglustat hcl,CHEMBL460785
km-6158,CHEMBL450081
"4,5-dichlorophthalamide",CHEMBL442682
nsc-7223,CHEMBL459510
kazinol t,CHEMBL461632
notoamide i,CHEMBL518633
notoamide j,CHEMBL460139
notoamide k,CHEMBL460140
o-nitrophenyl acetate,CHEMBL460363
(+)-alantrypinone,CHEMBL462275
notoamide f,CHEMBL461207
dykellic acid,CHEMBL449742
vipadenant,CHEMBL447664
biib-014,CHEMBL3545386
v2006,CHEMBL447664
pf-622,CHEMBL513789
nsc-289311,CHEMBL459502
nsc-368272,CHEMBL459503
nsc-368280,CHEMBL513615
hexylresorcinol,CHEMBL443605
sucrets,CHEMBL443605
gsk192082a,CHEMBL512076
mcl-515,CHEMBL513174
gsk182497a,CHEMBL517123
"3,3'-sulfonyldipropanoic acid",CHEMBL498855
"3,3'-sulfinyldipropanoic acid",CHEMBL509918
3-(carboxymethylthio)benzoic acid,CHEMBL500208
3-(2-carboxycyclohexanecarboxamido)benzoic acid,CHEMBL468074
"2,2'-(1,4-phenylenebis(methylene))bis(azanediyl)bis(oxomethylene)dibenzoic acid",CHEMBL467237
gsk238063a,CHEMBL466412
"6',7'-dihydroxy-bergamottin",CHEMBL513494
multifidone,CHEMBL517043
n-(2-iodoethyl)linoleoylamide,CHEMBL448660
n-(2-iodethyl)arachidonylamide,CHEMBL509376
"28,29-didehydronystatin a(1)",CHEMBL502855
ro-9187,CHEMBL513181
lassbio-1135,CHEMBL466188
lassbio-1140,CHEMBL466189
lassbio-1141,CHEMBL510552
pachastrissamine,CHEMBL447577
l-lyxo-phytosphingosine,CHEMBL466395
lassbio-1145,CHEMBL466815
cid 646303,CHEMBL505807
(2r)-(3'-phosphonomethylbicyclo[1.1.1]pentyl)glycine,CHEMBL467235
kazinol c,CHEMBL466200
broussonin c,CHEMBL468906
kazinol s,CHEMBL469113
3-(dimethylamino)butyl 4-chlorophenyl(methyl)carbamate,CHEMBL499575
3-(dimethylamino)butyl 4-cyanophenyl(methyl)carbamate,CHEMBL466398
3-(dimethylamino)butyl benzyl(methyl)carbamate,CHEMBL500318
3-(dimethylamino)butyl carbamate,CHEMBL449334
3-(dimethylamino)butyl ethylcarbamate,CHEMBL451633
3-(dimethylamino)butyl propylcarbamate,CHEMBL466399
3-(dimethylamino)butyl 2-hydroxyethylcarbamate,CHEMBL501227
3-(dimethylamino)butyl methylcarbamate,CHEMBL466400
o-3-(dimethylamino)butyl dimethylcarbamothioate,CHEMBL468903
3-(dimethylamino)butyl 3-phenylpropylcarbamate,CHEMBL448084
s-3-(dimethylamino)butyl dimethylcarbamothioate,CHEMBL480797
3-(dimethylamino)butyl 2-hydroxyethyl(methyl)carbamate,CHEMBL479622
3-(dimethylamino)butyl methyl(phenyl)carbamate,CHEMBL479623
isoxanthopterin,CHEMBL464251
3-methyl isoxanthopterin,CHEMBL464252
8-methyl isoxanthopterin,CHEMBL506866
pedicin,CHEMBL481972
isodidymocarpin,CHEMBL505666
(r)-(+)-goniothalamin,CHEMBL464443
(r)-goniothalamin,CHEMBL464443
goniothalamin,CHEMBL464443
seproxetine,CHEMBL465123
(r)-norfluoxetine,CHEMBL446084
"1,2-diacetoxylycorine",CHEMBL465295
"1,2-diacetyllycorine",CHEMBL465295
2-o-acetyllycorine,CHEMBL516707
1-o-propanoyllycorine,CHEMBL465296
"(6r,9s)-roseoside",CHEMBL520291
1-o-butanoyllycorine,CHEMBL481180
d-eflornithine,CHEMBL500575
"(6r,9r)-roseoside",CHEMBL465921
"1,2-dipropionyllycorine",CHEMBL517229
erysodine n-oxide,CHEMBL503526
erythraline,CHEMBL518262
8-oxo-erythraline,CHEMBL463877
erysotrine,CHEMBL442947
erysodine,CHEMBL446533
erysovine,CHEMBL517778
grycoerysodine,CHEMBL464248
erymelanthine,CHEMBL450858
tcmdc-124051,CHEMBL464249
zinc 01565330,CHEMBL464049
pf-04622664,CHEMBL464238
"3,5-bis(3,4-dimethoxystyryl)isoxazole",CHEMBL465110
pd-0184264,CHEMBL481949
ethyl-l-nio,CHEMBL442896
pd-0118057,CHEMBL521083
alpha-conotoxin imi,CHEMBL500076
lassbio-928,CHEMBL453671
lassbio-929,CHEMBL519627
lassbio-930,CHEMBL482199
udp-galactofuranose,CHEMBL521239
sm-122,CHEMBL481422
sr-180575,CHEMBL517539
endiandrin b,CHEMBL517222
cinbalansan,CHEMBL516595
quinoline-8-carboxamide,CHEMBL502330
udp-2f-galf,CHEMBL481012
udp-3f-galf,CHEMBL480230
udp-araf,CHEMBL518773
uridine diphosphate-l-arabinofuranose,CHEMBL518773
gsk172981,CHEMBL480628
methyl 4-(3-chlorobenzyloxy)benzoate,CHEMBL454289
methyl 4-((3-chlorophenylamino)methyl)benzoate,CHEMBL474066
methyl 4-(((3-chlorophenyl)(methyl)amino)methyl)benzoate,CHEMBL517223
methyl 4-(3-chlorophenylcarbamoyl)benzoate,CHEMBL479273
gsk256471,CHEMBL479463
flutax 1,CHEMBL525609
flutax 2,CHEMBL509241
"2,5-diisobutylphenol",CHEMBL481036
albitiazolium bromide,CHEMBL520613
"4-(1,1-diphenylethyl)phenol",CHEMBL504414
2-benzylhydroquinone,CHEMBL481994
tetradecanebis(imidamide),CHEMBL480242
"n'1,n'14-dihydroxytetradecanebis(imidamide)",CHEMBL447056
"n'1,n14-diacetoxytetradecanebis(imidamide)",CHEMBL479457
4-(7-methyloctyl)phenol,CHEMBL503990
pd-0202091,CHEMBL480438
"n'1,n14-bis(benzoyloxy)tetradecanebis(imidamide)",CHEMBL479656
"n'1,n14-bis(phenylcarbamoyloxy)tetradecanebis(imidamide)",CHEMBL518955
"n'1,n14-bis(ethylcarbamoyloxy)tetradecanebis(imidamide)",CHEMBL504565
"n'1,n14-dimethoxytetradecanebis(imidamide)",CHEMBL481617
chlohexidine gluconate ,CHEMBL1628
chlorhexidine gluconate,CHEMBL1628
acriflex,CHEMBL1628
aerocide 1,CHEMBL1628
bacticlens,CHEMBL1628
bioscrub,CHEMBL1628
brian care,CHEMBL1628
cepton,CHEMBL1628
cetriclens,CHEMBL1628
cetriclens fte,CHEMBL1628
chg scrub,CHEMBL1628
chloraprep,CHEMBL1628
chlorhex glucon,CHEMBL1628
chlorhexidine gluconate,CHEMBL1628
cida-stat,CHEMBL1628
clinivex,CHEMBL1628
corsodyl,CHEMBL1628
corsodyl daily,CHEMBL1628
corsodyl daily defence,CHEMBL1628
curasept,CHEMBL1628
cx 1,CHEMBL1628
cyteal,CHEMBL1628
dispray 1,CHEMBL1628
dispray 2,CHEMBL1628
dyna-hex,CHEMBL1628
eczmol,CHEMBL1628
gppe soln,CHEMBL1628
gppe tinct,CHEMBL1628
gppe wsh,CHEMBL1628
hibi,CHEMBL1628
hibicet,CHEMBL1628
hibiclens,CHEMBL1628
hibidil,CHEMBL1628
hibiscrub,CHEMBL1628
hibispray,CHEMBL1628
hibitane plus,CHEMBL1628
hydrex,CHEMBL1628
microderm,CHEMBL1628
paroex,CHEMBL1628
peridex,CHEMBL1628
perio-kin,CHEMBL1628
periochip,CHEMBL1628
periogard,CHEMBL1628
pharmaseal scrub care,CHEMBL1628
phiso-med,CHEMBL1628
prevacare,CHEMBL1628
prevacare r,CHEMBL1628
primahex,CHEMBL1628
rotersept,CHEMBL1628
savloclens,CHEMBL1628
savlodil,CHEMBL1628
savlon hc,CHEMBL1628
savlon jnr,CHEMBL1628
sterets tisept,CHEMBL1628
sterets uniscrub,CHEMBL1628
sterets unisept,CHEMBL1628
sterexidine,CHEMBL1628
steri-stat,CHEMBL1628
tarodent,CHEMBL1628
tisept,CHEMBL1628
uriflex-c,CHEMBL1628
di-tert-butylhydroquinone,CHEMBL480626
alpha-cyclopiazonic acid,CHEMBL480627
cyclopiazonic acid,CHEMBL480627
wc-59,CHEMBL480253
wc-26,CHEMBL481418
"n'1,n14-bis(methylsulfonyloxy)tetradecanebis(imidamide)",CHEMBL480837
"2,6-dihydroxybenzamide",CHEMBL501393
odanacatib,CHEMBL481611
mk-0822,CHEMBL481611
cladrin,CHEMBL454746
hexahydrocurcumin,CHEMBL479650
phomafungin,CHEMBL499600
3-(4-sulfamoylphenyl)propanoic acid,CHEMBL451332
toosendanin,CHEMBL503044
2-(4-phenethylphenylamino)benzoic acid,CHEMBL471965
"isopropyl 3-(3,4-dihydroxyphenyl)acrylate",CHEMBL481890
"3,5-dihydroxyacetophenone",CHEMBL507042
gsk312948a,CHEMBL480382
"cyclohexyl 1-(3',4'-dihydroxyphenyl)propenate",CHEMBL472582
gsk300014a,CHEMBL475599
tcmdc-135468,CHEMBL475767
np-506,CHEMBL480356
didodecanoylphloroglucinol,CHEMBL470757
gsk969786a,CHEMBL514938
tcmdc-135511,CHEMBL481331
gw784684x,CHEMBL475761
tcmdc-138726,CHEMBL474431
tcmdc-135507,CHEMBL473437
tcmdc-135542,CHEMBL473438
gw684626b,CHEMBL506414
(z)-3-bromohymenialdisine,CHEMBL480350
"octyl 1-(3',4'-dihydroxyphenyl)propenate",CHEMBL450591
"octyl 3-(3,4-dihydroxyphenyl)acrylate",CHEMBL450591
n-octadecyl caffeate,CHEMBL471797
gnf-pf-3875,CHEMBL481505
sj000120082,CHEMBL481506
gnf-pf-4399,CHEMBL482160
gsk1030058a,CHEMBL473420
gsk1030059a,CHEMBL471789
gsk1030061a,CHEMBL518968
gsk1030062a,CHEMBL482326
5-bromoferulic acid,CHEMBL450003
gw804482x,CHEMBL516248
gsk1023156a,CHEMBL518953
(+)-eudesmin,CHEMBL519099
(+)-pinoresinol dimethyl ether,CHEMBL523743
gw853609x,CHEMBL480371
gw853606x,CHEMBL481510
(+)-magnolin,CHEMBL519926
psammaplin a sulfate diguanidium salt,CHEMBL503026
psammaplin m,CHEMBL481499
psammaplin i,CHEMBL481500
gw843682x,CHEMBL514499
psammaplin a sulfate sodium salt,CHEMBL475809
"12,14-dichlorodehydroabietic acid",CHEMBL514946
gw852849x,CHEMBL514162
vu001171,CHEMBL515763
"6alpha,7alpha-dihydroxyannonene",CHEMBL475396
"7alpha,20-dihydroxyannonene",CHEMBL475560
7alpha-hydroxysolidagolactone i,CHEMBL482578
"ptycho-6alpha,7alpha-diol",CHEMBL482780
vu0092145,CHEMBL473806
riccardi f,CHEMBL474806
riccardin f,CHEMBL474806
(-)-cercosporamide,CHEMBL475816
gsk204925a,CHEMBL473629
batatasin iii,CHEMBL450788
"2',3,5-trihydroxybibenzyl",CHEMBL474628
"2-(3,4-dimethoxyphenethyl)phenol",CHEMBL472762
ur-ak24,CHEMBL483406
ur-pi104,CHEMBL474447
ur-pi141,CHEMBL514641
(+)-hannokinol,CHEMBL474475
ur-pi147,CHEMBL474617
ur-pi182,CHEMBL475620
ur-pi288,CHEMBL443896
ur-pi294,CHEMBL475621
ur-pi295,CHEMBL465170
amodiaquine hcl,CHEMBL1630
tcmdc-123932,CHEMBL1630
camoquin,CHEMBL1630
camoquin hcl,CHEMBL1630
4-phenylcatechol,CHEMBL475398
way-207024,CHEMBL474991
cyclopentylcarbamic acid biphenyl-3-yl ester,CHEMBL448753
tristin,CHEMBL471504
hircinol,CHEMBL475652
bi-87c10,CHEMBL452178
bi-87d5,CHEMBL474454
tcmdc-125840,CHEMBL475813
mmv011099,CHEMBL475813
dsm-106,CHEMBL444928
dsm-95,CHEMBL454269
9-phenethyladenine,CHEMBL445696
(s)-myxochelin a,CHEMBL515742
bi-87d6,CHEMBL447732
bi-87d7,CHEMBL474803
bi-87d10,CHEMBL447280
bi-87d11,CHEMBL474804
bi-87d12,CHEMBL475637
bi-87f11,CHEMBL475638
dsm-92,CHEMBL452667
dsm-94,CHEMBL475664
dsm-73,CHEMBL474842
dsm-131,CHEMBL474004
zinc 02647011,CHEMBL474006
zinc 03307332,CHEMBL516210
zinc 1064012,CHEMBL474017
frenolicin b,CHEMBL474390
deoxyfrenolicin,CHEMBL444165
embeconazole,CHEMBL475786
cs-758,CHEMBL475786
(r)-myxochelin a,CHEMBL494327
"1,5-bis[(2,3-dihydroxybenzoyl)amino]pentane",CHEMBL494328
bi-87f12,CHEMBL494329
bi-87g2,CHEMBL494330
bi-87e1,CHEMBL494332
bi-87e7,CHEMBL523200
bi-87e9,CHEMBL494333
dsm-89,CHEMBL452465
dsm-98,CHEMBL492520
dsm-97,CHEMBL492528
dsm-74,CHEMBL492529
dsm-100,CHEMBL523669
dsm-87,CHEMBL492530
dsm-88,CHEMBL492336
zinc 2628155,CHEMBL522652
zinc 00667609,CHEMBL524325
zinc 00347698,CHEMBL492346
bi-87f2,CHEMBL442827
bi-87f3,CHEMBL493945
bi-87f4,CHEMBL508112
bi-87f7,CHEMBL493341
bi-87f8,CHEMBL493538
bi-87g3,CHEMBL493539
dsm-99,CHEMBL500504
dsm-69,CHEMBL522991
dsm-84,CHEMBL492549
dsm-107,CHEMBL451525
dsm-108,CHEMBL492550
zinc 05119716,CHEMBL492957
e281,CHEMBL500826
sodium propionate,CHEMBL3989705
sodium pentanoate,CHEMBL509357
sodium valerate,CHEMBL509357
sodium maleate,CHEMBL449139
sodium (s)-2-hydroxysuccinate,CHEMBL493556
sodium (s)-2-hydroxypropanoate,CHEMBL507018
bi-87g10,CHEMBL523349
bi-87g11,CHEMBL493345
bi-87g12,CHEMBL493346
ser-asp-lys,CHEMBL493557
dsm-109,CHEMBL493761
dsm-111,CHEMBL451417
dsm-120,CHEMBL523691
dsm-132,CHEMBL508404
dsm-133,CHEMBL492497
dsm-85,CHEMBL502389
dsm-112,CHEMBL523163
dsm-121,CHEMBL492695
dsm-126,CHEMBL492711
dsm-82,CHEMBL492712
dsm-124,CHEMBL452392
dsm-128,CHEMBL13380
dsm-122,CHEMBL437480
3-oxo-18beta-glycyrrhetinic acid,CHEMBL493512
dsm-123,CHEMBL447995
dsm-81,CHEMBL522325
dsm-83,CHEMBL492719
sj000066413,CHEMBL492719
dsm-125,CHEMBL492720
cj-14877,CHEMBL492507
verubulin,CHEMBL492399
mpc-6827,CHEMBL2105697
mx-128495,CHEMBL492399
azixa,CHEMBL2105697
afrgsrhrm,CHEMBL526513
gsk237700a,CHEMBL521806
gsk317314a,CHEMBL493326
cathrtomannitol,CHEMBL493737
d-pinitol,CHEMBL493737
pinitol,CHEMBL493737
gsk317315a,CHEMBL522709
remogliflozin,CHEMBL494322
sergliflozin etabonate,CHEMBL450044
sergliflozin,CHEMBL450044
gw869682x,CHEMBL450044
"5,7-diacetylflavone",CHEMBL493969
"2,4,4-triphenylimidazoline",CHEMBL493970
metformin xr,CHEMBL494397
ximelagatran,CHEMBL522038
h 376/95,CHEMBL522038
exanta (proposed),CHEMBL522038
coroglaucigenin,CHEMBL495179
12beta-hydroxycoroglaucigenin,CHEMBL522203
ro-51,CHEMBL494161
cephalothin sodium,CHEMBL1632
cefalotin sodium,CHEMBL1632
38253,CHEMBL1632
averon,CHEMBL1632
cephalothin sodium,CHEMBL1632
keflin,CHEMBL1632
synclotin,CHEMBL1632
toricelocin,CHEMBL1632
calotropagenin,CHEMBL495033
deglucouzarin,CHEMBL449767
desglucouzarin,CHEMBL449767
calotropin,CHEMBL495949
uscharidin,CHEMBL449207
asclepin,CHEMBL445086
16alpha-acetoxycalotropin,CHEMBL448662
16alpha-acetoxyasclepin,CHEMBL454779
12beta-hydroxycalotropin,CHEMBL447912
tcmdc-125857,CHEMBL494163
ormetoprim,CHEMBL494760
ro-59754,CHEMBL494760
tc-2216,CHEMBL504652
"3,4,5-triacetylbenzoic acid",CHEMBL505054
ethyltrimethoxy benzoate,CHEMBL501163
chaetomugilin d,CHEMBL494745
chaetomugilin a,CHEMBL494746
chaetoglobosin c,CHEMBL502574
tcmdc-132471,CHEMBL504607
butyl gallate,CHEMBL494005
pentyl gallate,CHEMBL494006
"tetradecyl 3,4,5-trihydroxybenzoate",CHEMBL494182
tetradecyl gallate,CHEMBL494182
methylcurcumin,CHEMBL494826
go-y023,CHEMBL495184
casimiroin,CHEMBL492762
9-methylstreptimidone,CHEMBL492773
dihydroplatensimycin,CHEMBL492784
go-y067,CHEMBL522882
go-y026,CHEMBL493001
3-[(dodecylthiocarbonyl)methyl]glutarimide,CHEMBL492981
phenyl dihydroplatensimycin,CHEMBL494228
go-y104,CHEMBL492966
go-y021,CHEMBL521819
oxazol-5-yl(phenyl)methyl tetradecanoate,CHEMBL493567
"5-carboxyfuro[3,2-b]pyrrole",CHEMBL492591
3-phenylpropyl nitrate,CHEMBL501932
4-phenylbutyl nitrate,CHEMBL494178
"methyl 3,5-diheptanoylaminobenzoate",CHEMBL493165
pyridine acetamide,CHEMBL451098
uridine5'-(glucose[1']phospho)phosphonate,CHEMBL494777
uridine 5'-methylenephosphonate,CHEMBL522015
uridine5'-methylene-phosphonate,CHEMBL522015
vu0119498,CHEMBL523685
difenoconazol,CHEMBL466426
difenoconazole,CHEMBL466426
4-(acetoxy(phenyl)methyl)phenyl acetate,CHEMBL450404
phenyl(4-(propionyloxy)phenyl)methyl propionate,CHEMBL466029
4-(isobutyryloxy(phenyl)methyl)phenyl isobutyrate,CHEMBL466030
dihexyl5-(hydroxymethyl)isophthalate,CHEMBL513125
4-(acryloyloxy(phenyl)methyl)phenyl acrylate,CHEMBL444930
4-(formyloxy(phenyl)methyl)phenyl formate,CHEMBL468311
4-(hydroxy(phenyl)methyl)phenyl acetate,CHEMBL468312
dicyclohexylmethyl 5-(hydroxymethyl)isophthalate,CHEMBL468924
5-hydroxymethylisophthalic acid,CHEMBL447149
diethyl 5-(hydroxymethyl)isophthalate,CHEMBL467882
4'-azidoinosine,CHEMBL511226
4-((methoxycarbonyloxy)(phenyl)methyl)phenyl acetate,CHEMBL468051
ketotifen fumarate,CHEMBL1633
hc-20511,CHEMBL1633
hc-20511 fumarate,CHEMBL1633
alaway,CHEMBL1633
ketotifen fumarate,CHEMBL1633
zaditen,CHEMBL1633
zaditor,CHEMBL1633
1-allylguanidine,CHEMBL457863
1-(cyclohexylmethyl)guanidine,CHEMBL505881
hexyl 3-(hydroxymethyl)benzoate,CHEMBL466840
2-methylpentyl 3-(hydroxymethyl)benzoate,CHEMBL444483
1-ethylpentyl 3-(hydroxymethyl)benzoate,CHEMBL467045
bryostatin,CHEMBL449158
bryostatin 1,CHEMBL449158
mk-0668,CHEMBL506044
1-(4-methylbenzyl)guanidine,CHEMBL509535
gnf-pf-5364,CHEMBL467886
1-(4-trifluoromethylbenzyl)guanidine,CHEMBL466430
1-(4-chlorobenzyl)guanidine,CHEMBL466431
1-(4-bromobenzyl)guanidine,CHEMBL448607
1-(4-methoxybenzyl)guanidine,CHEMBL468932
1-(4-ethoxybenzyl)guanidine,CHEMBL507151
"2,3-dimethoxybenzylguanidine",CHEMBL502523
wr301839,CHEMBL511212
wr301858,CHEMBL511432
4-hydroxybenzylguanidine,CHEMBL449260
vu0238429,CHEMBL466253
cs-8958,CHEMBL467058
r-118958,CHEMBL467058
r-125489,CHEMBL1673194
"(s)-2,6-diaminohexanamide",CHEMBL468718
micrococcin,CHEMBL507798
jnj-37654032,CHEMBL467790
lgd-2941,CHEMBL467888
pentaerithrityl tetranitrate,CHEMBL466659
pentaerithritol tetranitrate,CHEMBL466659
pentaerythritol tetranitrate,CHEMBL466659
pentanitrol,CHEMBL466659
cardiacap,CHEMBL466659
mycardol,CHEMBL466659
pentritol tempules,CHEMBL466659
peritrate,CHEMBL466659
peritrate sa,CHEMBL466659
